,Player,Overall Score,Potential Score,Market Value,Weekly Salary,Height,Weight,Age,Preferred Foot,Ball Skills,Defence,Mental,Passing,Physical,Shooting,Goalkeeping
0,Matías Silvestre,70,70,650000,2400,185,84,35,Right,55.0,68.33333333333333,60.166666666666664,54.333333333333336,58.0,50.25,3.8
1,Ken Reichel,70,70,1100000,18000,185,84,33,Left,66.0,69.0,66.16666666666667,66.33333333333333,68.14285714285714,65.0,9.4
2,Laurent Ciman,70,70,850000,4500,184,70,35,Right,63.0,68.66666666666667,65.5,69.33333333333333,60.285714285714285,62.0,12.0
3,Moritz Stoppelkamp,70,70,1400000,2300,180,75,33,Right,73.0,48.666666666666664,63.666666666666664,64.0,73.42857142857143,65.0,12.4
4,Pedro López,70,70,500000,3400,174,72,36,Right,69.5,71.66666666666667,67.33333333333333,70.33333333333333,66.0,59.75,12.8
5,Cristian Săpunaru,70,70,550000,5500,187,81,36,Right,66.0,67.0,69.83333333333333,62.666666666666664,63.714285714285715,66.875,11.4
6,Vincent Demarconnay,70,70,300000,2700,180,73,37,Right,19.0,18.666666666666668,34.666666666666664,30.0,47.857142857142854,19.0,70.0
7,Susaeta,70,70,900000,5300,178,74,35,Right,70.0,52.0,64.16666666666667,74.0,61.285714285714285,71.0,12.0
8,Seoane,70,70,375000,3800,176,73,37,Right,59.5,69.66666666666667,69.83333333333333,65.0,63.0,52.625,11.2
9,Emiliano Papa,70,70,200000,4100,169,67,38,Left,70.0,66.33333333333333,66.0,72.33333333333333,71.28571428571429,55.5,9.2
10,Jonás Gutiérrez,70,70,750000,6500,184,73,37,Right,71.0,65.33333333333333,68.33333333333333,72.0,59.57142857142857,57.75,10.2
11,Özgür Çek,70,70,1500000,13000,173,70,29,Left,70.0,65.33333333333333,66.0,68.0,73.85714285714286,64.0,10.6
12,Michael Rensing,70,70,475000,7600,190,91,36,Right,17.5,14.0,38.333333333333336,25.666666666666668,49.42857142857143,17.375,68.6
13,Michael Dawson,70,70,550000,15000,188,76,36,Right,38.0,72.0,59.0,48.0,46.714285714285715,35.25,9.6
14,Nino,70,70,525000,3600,169,68,40,Right,67.5,42.333333333333336,69.16666666666667,58.666666666666664,61.714285714285715,67.0,9.8
15,Reto Ziegler,70,70,850000,4500,183,80,34,Left,68.5,70.66666666666667,67.83333333333333,72.0,61.285714285714285,67.0,4.8
16,Gianluca Pegolo,70,70,180000,12000,183,76,39,Left,15.5,10.333333333333334,37.166666666666664,23.0,48.57142857142857,18.5,67.6
17,Simone Padoin,70,70,500000,1900,178,73,36,Right,74.5,71.66666666666667,70.83333333333333,73.33333333333333,65.28571428571429,67.5,4.6
18,Stewart Downing,70,70,900000,12500,180,64,36,Left,72.0,55.0,60.5,74.0,60.142857142857146,70.375,12.6
19,Kyle Beckerman,70,70,275000,3200,177,70,38,Right,65.5,67.66666666666667,66.0,61.333333333333336,55.857142857142854,61.875,11.8
20,Mohamed Tijani,69,79,1500000,5300,188,91,23,Right,51.5,68.0,56.666666666666664,46.333333333333336,67.14285714285714,33.125,12.4
21,David Zima,69,82,1700000,2100,190,80,19,Right,61.5,67.0,57.833333333333336,53.666666666666664,62.285714285714285,44.125,10.0
22,Róbert Boženík,69,81,1800000,4300,188,81,20,Right,67.5,28.0,56.166666666666664,59.333333333333336,70.71428571428571,60.625,10.2
23,Gadi Kinda,69,72,1300000,4000,173,66,26,Right,75.5,54.0,63.833333333333336,64.33333333333333,72.14285714285714,49.375,9.6
24,Leonardo,69,76,1500000,6000,180,70,23,Right,65.0,17.0,54.666666666666664,46.333333333333336,65.14285714285714,65.875,10.6
25,Jonathan Borja,69,72,1300000,11500,178,70,26,Right,72.0,34.333333333333336,54.666666666666664,62.0,71.28571428571429,62.75,9.6
26,Mohamed Hany,69,74,,,175,72,24,Right,68.0,67.0,63.0,67.66666666666667,72.0,57.5,10.6
27,Robert Burbano,69,75,1400000,7700,180,82,24,Right,68.5,42.0,53.5,69.66666666666667,73.14285714285714,63.75,10.8
